"Dependentes","Estado.Civil","Idade","Conta.Poupanca","Conta.Salario","Cheque.Sem.Fundo","Conta.Conjunta","Valor.Emprestimo","Multa","Juros","Valor.Emprestimo.Atualizado","PAGO","ID"
2,2,2,2,1,1,1,3,3,3,3,1,47000212
2,2,1,2,1,1,1,2,1,2,1,1,1397638
1,4,1,2,1,1,1,3,1,2,2,1,1414324
1,2,3,2,1,2,1,3,3,3,3,1,47010622
2,2,3,2,1,1,1,2,1,1,1,1,1409578
1,4,2,2,1,1,1,3,2,3,3,1,1376104
1,2,3,2,1,2,1,3,2,2,3,1,1474108
2,2,3,2,1,1,2,2,2,1,1,1,1387549
1,8,1,1,1,2,1,2,3,2,2,1,1400389
1,8,3,1,1,1,1,3,1,3,2,1,1341124
1,4,1,2,1,1,1,2,1,2,2,1,1387288
1,2,1,2,1,1,1,2,2,1,1,1,1454716
2,2,1,2,1,1,1,2,2,1,1,1,1488679
1,2,3,2,1,2,1,2,2,1,1,1,1382488
2,2,3,2,1,2,2,2,1,2,2,1,1437424
1,4,2,2,1,1,1,2,3,3,3,1,1392847
2,2,2,2,1,1,1,2,1,1,1,1,1370629
1,4,3,2,1,1,1,2,2,1,1,1,1369336
1,2,3,2,1,1,1,2,1,1,1,1,1439716
2,2,2,2,1,1,1,2,1,2,1,1,1334962
2,2,3,2,1,1,1,2,3,1,2,1,1481359
1,2,3,2,1,2,1,3,2,3,3,1,1313116
1,2,2,2,1,1,1,2,2,1,1,1,1477708
1,4,3,2,1,2,1,3,2,3,3,1,1377124
1,2,2,2,1,1,1,3,2,2,3,1,1420999
1,2,3,2,1,1,1,2,3,3,3,1,1332076
1,8,3,1,1,2,1,2,2,2,2,1,47001781
2,4,3,2,1,2,1,2,2,1,2,1,1495336
1,2,2,2,1,2,1,3,3,3,3,1,46999903
2,2,2,2,1,1,1,3,3,3,3,1,1449682
2,3,2,1,1,1,1,2,2,2,1,1,1349098
1,2,2,2,1,1,1,2,3,3,3,1,1374991
1,8,3,1,1,1,1,2,1,1,1,1,1425841
2,8,3,2,1,1,1,2,1,1,1,1,16808184871
2,2,1,2,1,1,1,2,2,1,1,1,1490008
2,2,1,2,1,2,1,2,1,2,2,1,1467124
2,2,2,2,1,1,1,3,1,2,2,1,1369276
1,2,3,2,1,1,1,2,3,2,2,1,1464826
2,2,3,2,1,1,1,2,3,3,3,1,1327942
1,4,3,2,1,1,1,3,3,3,3,1,21616056871
1,2,2,2,1,1,1,2,3,1,2,1,1494064
2,2,3,2,1,1,1,2,1,2,1,1,1328140
